   1 Agrifacts     261890 467687
 131 Agrifacts     142086 480206
 132 Agrifacts     116191 509845
 133 Agrifacts     119363 510358
 134 Agrifacts     241225 544151
 135 Agrifacts     241180 497911
 136 Agrifacts     242085 498712
 137 Agrifacts     223654 558088
 138 Agrifacts     197213 318864
 139 Agrifacts     195030 322177
 140 Agrifacts     194017 322949
 141 Agrifacts     193464 321981
 142 Agrifacts     193255 322378
 143 Agrifacts     192746 323874
 144 Agrifacts     190902 326393
 145 Agrifacts     190515 324087
 146 Agrifacts     190751 325076
 147 Agrifacts     190713 325943
 148 Agrifacts     190372 326729
 149 Agrifacts     190135 325805
 150 Agrifacts     189867 325667
 151 Agrifacts     189521 322985
 152 Agrifacts     189585 325485
 153 Agrifacts     188669 325130
 154 Agrifacts     188950 328050
 155 Agrifacts     187620 328865
 156 Agrifacts     187244 328615
 157 Agrifacts     199078 307769
 158 Agrifacts     191132 312469
 159 Agrifacts     194280 313847
 160 Agrifacts     194830 315394
 161 Agrifacts     191808 317687
 162 Agrifacts     192587 313536
 163 Agrifacts     192237 310792
 164 Agrifacts     191334 312079
 165 Agrifacts     190910 313824
 166 Agrifacts     190599 309104
 167 Agrifacts     187612 317304
 168 Agrifacts     185548 321462
 169 Agrifacts     185571 319345
 170 Agrifacts     184252 321068
 171 Agrifacts     183364 321278
 172 Agrifacts     180716 320860
 173 Agrifacts     186818 317933
 174 Agrifacts     185815 317400
 175 Agrifacts     185993 318956
 176 Agrifacts     186289 319085
 177 Agrifacts     186219 317674
 178 Agrifacts     186223 319202
 179 Agrifacts     185968 319475
 180 Agrifacts     185737 318541
 181 Agrifacts     183574 319259
 182 Agrifacts     183013 319347
 183 Agrifacts     182877 319585
 184 Agrifacts     182857 319616
 185 Agrifacts     182855 319654
 186 Agrifacts     182403 319835
 187 Agrifacts     188523 350965
 188 Agrifacts     182188 337483
 189 Agrifacts      58627 418058
 190 Agrifacts      60155 411005
 191 Agrifacts      23615 372071
 192 Agrifacts     184997 373124
 193 Agrifacts     187832 582336
 194 Agrifacts      75007 420662
 195 Agrifacts      61045 426942
 196 Agrifacts      94105 412817
 197 Agrifacts      97030 413478
 198 Agrifacts      95956 412960
 199 Agrifacts      95691 412939
 200 Agrifacts     100411 414343
 201 Agrifacts      98093 413825
 202 Agrifacts      93789 413531
 203 Agrifacts      91190 414525
 204 Agrifacts     213413 535524
 205 Agrifacts     152889 536649
 206 Agrifacts     156609 547595
 207 Agrifacts     156656 551768
 208 Agrifacts     155429 558222
 209 Agrifacts     153931 564964
 210 Agrifacts     121422 495951
 211 Agrifacts     119411 496563
 212 Agrifacts     125957 494888
 213 Agrifacts     123931 495729
 214 Agrifacts     120588 498118
 215 Agrifacts     147866 396156
 216 Agrifacts     145043 395964
 217 Agrifacts     141951 397180
 218 Agrifacts     146619 397833
 219 Agrifacts     150212 382679
 220 Agrifacts     147085 382977
 221 Agrifacts     141176 382182
 222 Agrifacts     144706 383783
 223 Agrifacts     144195 378092
 224 Agrifacts     139250 380856
 225 Agrifacts     138860 380677
 226 Agrifacts     135182 386279
 227 Agrifacts     103513 494233
 228 Agrifacts      97965 486615
 229 Agrifacts     101508 487938
 230 Agrifacts     101252 483355
 231 Agrifacts     101141 483842
 232 Agrifacts     100664 484246
 233 Agrifacts     180189 512227
 234 Agrifacts     157821 445071
 235 Agrifacts     156923 444294
 236 Agrifacts     156355 444063
 237 Agrifacts     154113 444392
 238 Agrifacts      39706 414725
 239 Agrifacts      44221 417460
 240 Agrifacts      44046 417878
 241 Agrifacts      43521 417489
 242 Agrifacts      43275 417357
 243 Agrifacts      40379 415031
 244 Agrifacts      40416 414416
 245 Agrifacts      40041 415526
 246 Agrifacts     242188 445030
 247 Agrifacts     195907 318562
 248 Agrifacts     194992 319645
 249 Agrifacts     205464 458706
 250 Agrifacts     205051 460956
 251 Agrifacts     202969 461099
 252 Agrifacts     263406 479170
 253 Agrifacts     262333 483148
 254 Agrifacts     262009 480300
 255 Agrifacts     130287 410666
 256 Agrifacts     129882 411462
 257 Agrifacts     128318 410889
 258 Agrifacts     126301 410726
 259 Agrifacts     209399 597345
 260 Agrifacts     205430 601815
 261 Agrifacts     226334 577783
 262 Agrifacts     225989 576015
 263 Agrifacts     166961 369585
 264 Agrifacts     164499 377243
 265 Agrifacts     162915 375330
 266 Agrifacts     162200 372708
 267 Agrifacts     157863 367608
 268 Agrifacts     163997 370720
 269 Agrifacts     256415 485086
 270 Agrifacts     142831 491155
 271 Agrifacts     193911 362340
 272 Agrifacts     271249 558749
 273 Agrifacts     138266 438007
 274 Agrifacts     137217 435465
 275 Agrifacts     137729 437197
 276 Agrifacts     136930 435819
 277 Agrifacts     136948 431309
 278 Agrifacts     136730 431803
 279 Agrifacts     136314 434799
 280 Agrifacts     136568 433097
 281 Agrifacts     136521 432734
 282 Agrifacts     136451 432483
 283 Agrifacts     133845 430953
 284 Agrifacts     135659 433168
 285 Agrifacts     136192 433326
 286 Agrifacts     135904 433377
 287 Agrifacts     134314 432457
 288 Agrifacts     133833 432077
 289 Agrifacts     132862 431730
 290 Agrifacts     132468 430898
 291 Agrifacts     130688 429951
 292 Agrifacts     130033 430151
 293 Agrifacts     128577 430147
 294 Agrifacts     128231 430080
 295 Agrifacts     128216 428906
 296 Agrifacts     128257 429340
 297 Agrifacts     128239 429177
 298 Agrifacts     127981 429327
 299 Agrifacts     131082 425066
 300 Agrifacts     132549 424250
 301 Agrifacts     132458 423299
 302 Agrifacts     130415 419476
 303 Agrifacts     125486 417990
 304 Agrifacts     255179 477528
 305 Agrifacts     137244 406556
 306 Agrifacts     140694 401989
 307 Agrifacts     211176 385099
 308 Agrifacts     204330 399636
 309 Agrifacts      32982 400275
 310 Agrifacts      28602 400910
 311 Agrifacts      31857 401213
 312 Agrifacts      31645 401301
 313 Agrifacts      25000 399067
 314 Agrifacts     237105 536712
 315 Agrifacts     236348 532983
 316 Agrifacts     143824 505287
 317 Agrifacts     135576 483403
 318 Agrifacts     133549 495719
 319 Agrifacts      76678 386336
 320 Agrifacts      84329 462898
 321 Agrifacts     206498 352985
 322 Agrifacts     138183 476898
 323 Agrifacts     136395 478338
 324 Agrifacts     115043 461664
 325 Agrifacts     117342 464484
 326 Agrifacts     115803 460949
 327 Agrifacts     184213 308774
 328 Agrifacts     183100 309520
 329 Agrifacts     105120 518855
 330 Agrifacts     108013 519891
 331 Agrifacts     103351 507420
 332 Agrifacts     104093 519800
 333 Agrifacts     102307 507890
 334 Agrifacts     102250 507953
 335 Agrifacts     145763 587184
 336 Agrifacts     226394 563876
 337 Agrifacts     193272 413648
 338 Agrifacts     204223 515962
 339 Agrifacts      56991 399299
 340 Agrifacts      71545 402835
 341 Agrifacts      70946 392794
 342 Agrifacts      70751 393180
 343 Agrifacts      70345 402109
 344 Agrifacts      68439 405597
 345 Agrifacts      68432 407441
 346 Agrifacts      67935 405283
 347 Agrifacts      66637 394040
 348 Agrifacts      63947 395188
 349 Agrifacts      63781 394483
 350 Agrifacts      63763 394525
 351 Agrifacts      63286 394858
 352 Agrifacts      63023 395508
 353 Agrifacts      61933 406564
 354 Agrifacts      61118 398085
 355 Agrifacts      60900 397394
 356 Agrifacts      60079 392453
 357 Agrifacts      59562 404418
 358 Agrifacts      59424 401560
 359 Agrifacts      59323 404324
 360 Agrifacts      58216 404704
 361 Agrifacts      57355 404325
 362 Agrifacts      57257 403973
 363 Agrifacts      56746 405135
 364 Agrifacts      54449 392843
 365 Agrifacts      53698 395749
 366 Agrifacts      52401 405925
 367 Agrifacts      51794 407447
 368 Agrifacts      51366 408663
 369 Agrifacts      51612 406581
 370 Agrifacts      51535 406226
 371 Agrifacts      51367 407533
 372 Agrifacts      51268 397796
 373 Agrifacts      50784 408997
 374 Agrifacts      50481 410363
 375 Agrifacts      50017 410901
 376 Agrifacts      49788 411368
 377 Agrifacts      49524 410996
 378 Agrifacts      48742 411581
 379 Agrifacts      47786 411516
 380 Agrifacts      47651 413250
 381 Agrifacts      47766 412183
 382 Agrifacts      46933 402691
 383 Agrifacts      45654 402786
 384 Agrifacts      45956 402882
 385 Agrifacts      45290 413531
 386 Agrifacts      44825 402646
 387 Agrifacts      44093 402516
 388 Agrifacts      44311 412228
 389 Agrifacts      43429 411871
 390 Agrifacts      43400 401461
 391 Agrifacts      43045 402103
 392 Agrifacts      42602 402232
 393 Agrifacts      42287 411179
 394 Agrifacts      41728 402033
 395 Agrifacts      41660 401835
 396 Agrifacts      41657 410707
 397 Agrifacts      41393 401928
 398 Agrifacts      40684 401762
 399 Agrifacts      40236 410410
 400 Agrifacts      39444 410188
 401 Agrifacts      38412 402070
 402 Agrifacts     152548 495425
 403 Agrifacts      96690 426946
 404 Agrifacts      93337 427415
 405 Agrifacts      94013 428033
 406 Agrifacts      92922 428120
 407 Agrifacts      91215 427177
 408 Agrifacts      89687 428276
 409 Agrifacts      90119 427346
 410 Agrifacts      90443 427079
 411 Agrifacts      90272 427084
 412 Agrifacts      88801 427937
 413 Agrifacts      88211 427301
 414 Agrifacts      86215 428482
 415 Agrifacts      85616 428945
 416 Agrifacts      83464 430056
 417 Agrifacts      82639 431525
 418 Agrifacts     170932 552274
 419 Agrifacts     162670 548258
 420 Agrifacts     163836 555019
 421 Agrifacts      95160 419737
 422 Agrifacts     114149 499519
 423 Agrifacts     114140 495984
 424 Agrifacts     113832 497988
 425 Agrifacts     112863 495922
 426 Agrifacts     112471 498326
 427 Agrifacts     130143 506086
 428 Agrifacts     129914 390524
 429 Agrifacts     203984 349418
 430 Agrifacts     200111 351675
 431 Agrifacts     200163 347167
 432 Agrifacts     196522 355739
 433 Agrifacts     189833 538989
 434 Agrifacts     187719 542659
 435 Agrifacts     188531 542316
 436 Agrifacts     224701 483846
 437 Agrifacts     184261 363998
 438 Agrifacts     183371 364536
 439 Agrifacts     182677 363510
 440 Agrifacts     180675 313171
 441 Agrifacts     180621 315695
 442 Agrifacts     180521 315625
 443 Agrifacts     180302 315745
 444 Agrifacts     106008 523663
 445 Agrifacts     192516 417198
 446 Agrifacts     175641 314827
 447 Agrifacts     176018 316151
 448 Agrifacts     175908 316246
 449 Agrifacts     175814 316232
 450 Agrifacts     174725 314308
 451 Agrifacts     174531 315579
 452 Agrifacts     174576 314188
 453 Agrifacts     174361 314933
 454 Agrifacts     174381 314321
 455 Agrifacts     173935 314600
 456 Agrifacts     183035 559940
 457 Agrifacts     179152 559633
 458 Agrifacts     255161 495651
 459 Agrifacts     253197 493346
 460 Agrifacts     229428 459240
 461 Agrifacts     173413 377881
 462 Agrifacts     170222 379763
 463 Agrifacts     172089 378464
 464 Agrifacts     202031 360395
 465 Agrifacts     199347 361697
 466 Agrifacts     128706 443498
 467 Agrifacts     127552 442347
 468 Agrifacts     124186 441475
 469 Agrifacts     122643 439926
 470 Agrifacts     200136 516392
 471 Agrifacts     208419 503914
 472 Agrifacts     207086 504411
 473 Agrifacts     203350 510204
 474 Agrifacts     114968 396239
 475 Agrifacts     199353 562401
 476 Agrifacts     197911 562926
 477 Agrifacts     199877 561400
 478 Agrifacts     197263 562492
 479 Agrifacts     229326 502144
 480 Agrifacts     226546 503034
 481 Agrifacts     226390 502918
 482 Agrifacts     226211 503090
 483 Agrifacts     224083 498300
 484 Agrifacts      39287 396751
 485 Agrifacts     187434 505285
 486 Agrifacts     186225 500741
 487 Agrifacts     176804 490244
 488 Agrifacts     166926 482364
 489 Agrifacts      10708 390669
 490 Agrifacts     149223 409707
 491 Agrifacts     144632 410629
 492 Agrifacts     144367 408973
 493 Agrifacts      59227 373268
 494 Agrifacts      36435 418251
 495 Agrifacts      63874 435280
 496 Agrifacts      65120 428668
 497 Agrifacts      64547 429921
 498 Agrifacts      62874 435211
 499 Agrifacts     171999 363500
 500 Agrifacts     173002 367676
 501 Agrifacts     171525 358849
 502 Agrifacts     175185 368180
 503 Agrifacts     169042 359796
 504 Agrifacts     173811 366525
 505 Agrifacts     171721 360509
 506 Agrifacts     171990 359956
 507 Agrifacts     170988 359777
 508 Agrifacts     170164 359302
 509 Agrifacts      77867 456045
 510 Agrifacts      76513 455417
 511 Agrifacts      76850 454124
 512 Agrifacts      42709 380831
 513 Agrifacts      72577 380428
 514 Agrifacts      61340 383664
 515 Agrifacts      56810 380295
 516 Agrifacts      50823 379589
 517 Agrifacts      50549 379671
 518 Agrifacts      45025 379238
 519 Agrifacts      44553 379696
 520 Agrifacts      44040 380092
 521 Agrifacts      43428 380806
 522 Agrifacts      38464 384074
 523 Agrifacts      36582 376550
 524 Agrifacts      33710 386196
 525 Agrifacts      33922 377456
 526 Agrifacts      32997 377715
 527 Agrifacts      18791 379381
 528 Agrifacts     207616 563865
 529 Agrifacts     206763 563822
 530 Agrifacts     251003 442645
 531 Agrifacts     174740 556790
 532 Agrifacts     256463 463129
 533 Agrifacts     230297 553310
 534 Agrifacts     248375 436397
 535 Agrifacts     118600 504020
 536 Agrifacts     115226 504008
 537 Agrifacts     114752 503350
 538 Agrifacts     117046 499005
 539 Agrifacts     117608 502638
 540 Agrifacts      60019 390004
 541 Agrifacts      58479 389361
 542 Agrifacts     198899 411886
 543 Agrifacts     128289 440805
 544 Agrifacts     128303 437824
 545 Agrifacts     127725 440100
 546 Agrifacts     241626 574381
 547 Agrifacts     106722 533180
 548 Agrifacts     108128 536507
 549 Agrifacts     193264 516014
 550 Agrifacts      14840 375276
 551 Agrifacts      14858 376194
 552 Agrifacts      14730 377553
 553 Agrifacts      14844 375870
 554 Agrifacts      73233 373086
 555 Agrifacts      33125 797803
 556 Agrifacts       3808 679636
 557 Agrifacts     111223 648280
 558 Agrifacts     184278 487473
 559 Agrifacts     183144 487183
 560 Agrifacts     182479 486980
 561 Agrifacts     182685 487249
 562 Agrifacts     181246 486257
 563 Agrifacts     180463 486757
 564 Agrifacts     197207 452971
 565 Agrifacts     199370 494122
 566 Agrifacts     184628 479407
 567 Agrifacts     184605 457682
 568 Agrifacts     196375 486277
 569 Agrifacts     193351 494904
 570 Agrifacts     192178 484748
 571 Agrifacts     192135 447441
 572 Agrifacts     192162 483601
 573 Agrifacts     185824 445953
 574 Agrifacts     191559 485398
 575 Agrifacts     189659 492749
 576 Agrifacts     189962 460054
 577 Agrifacts     189832 448969
 578 Agrifacts     188651 453221
 579 Agrifacts     185639 489329
 580 Agrifacts     187759 444320
 581 Agrifacts     179077 446074
 582 Agrifacts     180362 486142
 583 Agrifacts     181238 476517
 584 Agrifacts     180832 476630
 585 Agrifacts     180383 442930
 586 Agrifacts     180759 444178
 587 Agrifacts     180177 469902
 588 Agrifacts     177404 472232
 589 Agrifacts     176965 484723
 590 Agrifacts     207735 451955
 591 Agrifacts     210663 456776
 592 Agrifacts     210056 464849
 593 Agrifacts     209911 459737
 594 Agrifacts     209254 470954
 595 Agrifacts     209739 458872
 596 Agrifacts     209528 460390
 597 Agrifacts     209966 469086
 598 Agrifacts     209454 463048
 599 Agrifacts     207258 454050
 600 Agrifacts     208291 471196
 601 Agrifacts     208193 472356
 602 Agrifacts     207783 472882
 603 Agrifacts     207944 466363
 604 Agrifacts     206904 474122
 605 Agrifacts     206929 453107
 606 Agrifacts     206871 453079
 607 Agrifacts     204472 479025
 608 Agrifacts     204816 476545
 609 Agrifacts     204046 495707
 610 Agrifacts     204416 447764
 611 Agrifacts     200687 445840
 612 Agrifacts     203844 494023
 613 Agrifacts     205384 494937
 614 Agrifacts     202717 435399
 615 Agrifacts     203471 486008
 616 Agrifacts     203414 431260
 617 Agrifacts     203237 482598
 618 Agrifacts     203057 434294
 619 Agrifacts     202528 498163
 620 Agrifacts     201001 499712
 621 Agrifacts     199452 446266
 622 Agrifacts     200956 500927
 623 Agrifacts     200576 501420
 624 Agrifacts     200486 500780
 625 Agrifacts     200255 501281
 626 Agrifacts     200102 501936
 627 Agrifacts     197783 503195
 628 Agrifacts     198605 435574
 629 Agrifacts     195950 504475
 630 Agrifacts     196827 444330
 631 Agrifacts     195230 442992
 632 Agrifacts     195304 442611
 633 Agrifacts     194590 502950
 634 Agrifacts     194568 439566
 635 Agrifacts     194427 504426
 636 Agrifacts     194234 442147
 637 Agrifacts     193986 504667
 638 Agrifacts     194072 442454
 639 Agrifacts     193267 440997
 640 Agrifacts     193075 505203
 641 Agrifacts     191790 507169
 642 Agrifacts     191823 506158
 643 Agrifacts     191760 506257
 644 Agrifacts     190874 508653
 645 Agrifacts     188726 510166
 646 Agrifacts     188020 510229
 647 Agrifacts     186900 430070
 648 Agrifacts     187224 510570
 649 Agrifacts     185115 510410
 650 Agrifacts     186849 510785
 651 Agrifacts     185581 431268
 652 Agrifacts     185290 510812
 653 Agrifacts     183267 431381
 654 Agrifacts     182808 510735
 655 Agrifacts     181295 432823
 656 Agrifacts     182901 441167
 657 Agrifacts     180233 442401
 658 Agrifacts     174984 440514
 659 Agrifacts     174831 434622
 660 Agrifacts     176861 433334
 661 Agrifacts     174807 441292
 662 Agrifacts     172218 433858
 663 Agrifacts     166952 434863
 664 Agrifacts     169641 440346
 665 Agrifacts     166428 433894
 666 Agrifacts     168205 440554
 667 Agrifacts     164441 442654
 668 Agrifacts     165968 441320
 669 Agrifacts     160912 443295
 670 Agrifacts     157247 429258
 671 Agrifacts     161424 434082
 672 Agrifacts     160352 444722
 673 Agrifacts     159392 433467
 674 Agrifacts     154874 443004
 675 Agrifacts     157430 431488
 676 Agrifacts     154967 442122
 677 Agrifacts     154218 426455
 678 Agrifacts     149123 424833
 679 Agrifacts     211143 457688
 680 Agrifacts     210516 458923
 681 Agrifacts     209140 467749
 682 Agrifacts     208706 467626
 683 Agrifacts     207381 429109
 684 Agrifacts     207046 453289
 685 Agrifacts     200653 434270
 686 Agrifacts     206060 452994
 687 Agrifacts     206065 491357
 688 Agrifacts     205627 429306
 689 Agrifacts     203624 487278
 690 Agrifacts     204696 488430
 691 Agrifacts     204085 479623
 692 Agrifacts     204101 478231
 693 Agrifacts     203042 430298
 694 Agrifacts     203131 496516
 695 Agrifacts     202947 447331
 696 Agrifacts     202336 486472
 697 Agrifacts     203099 487073
 698 Agrifacts     202960 481952
 699 Agrifacts     203041 481018
 700 Agrifacts     202901 487033
 701 Agrifacts     202332 495053
 702 Agrifacts     202450 430670
 703 Agrifacts     200301 431319
 704 Agrifacts     194076 430797
 705 Agrifacts     198335 503389
 706 Agrifacts     194012 434445
 707 Agrifacts     198089 502987
 708 Agrifacts     197886 504877
 709 Agrifacts     195833 503984
 710 Agrifacts     197554 504016
 711 Agrifacts     197513 505185
 712 Agrifacts     196985 443998
 713 Agrifacts     197398 505193
 714 Agrifacts     196704 505043
 715 Agrifacts     193914 504824
 716 Agrifacts     194318 428666
 717 Agrifacts     194330 439341
 718 Agrifacts     192552 441421
 719 Agrifacts     191971 506470
 720 Agrifacts     191520 507618
 721 Agrifacts     190603 508803
 722 Agrifacts     188780 509976
 723 Agrifacts     187313 510800
 724 Agrifacts     184099 510629
 725 Agrifacts     185755 510809
 726 Agrifacts     183589 510772
 727 Agrifacts     179801 432483
 728 Agrifacts     177272 433322
 729 Agrifacts     170586 439849
 730 Agrifacts     161043 445092
 731 Agrifacts     160701 443994
 732 Agrifacts     158805 444448
 733 Agrifacts     155793 428246
 734 Agrifacts     151081 425847
 735 Agrifacts     148761 425164
 736 Agrifacts     147264 426381
 737 Agrifacts     145690 425886
 738 Agrifacts     231857 488029
 739 Agrifacts      71404 449501
 740 Agrifacts      71508 443696
 741 Agrifacts      69742 444350
 742 Agrifacts      68609 445149
 743 Agrifacts      68400 444328
 744 Agrifacts     197294 531438
 745 Agrifacts     193132 532790
 746 Agrifacts     192335 536488
 747 Agrifacts     245289 614340
 748 Agrifacts     265773 594485
 749 Agrifacts     267855 590897
 750 Agrifacts     252917 608373
 751 Agrifacts     162038 586265
 752 Agrifacts     230580 604823
 753 Agrifacts      77717 408215
 754 Agrifacts      73654 390579
 755 Agrifacts      60113 378871
 756 Agrifacts      60012 379821
 757 Agrifacts     176832 309697
 758 Agrifacts     176763 312841
 759 Agrifacts      77564 423488
 760 Agrifacts     136789 467923
 761 Agrifacts     136076 475571
 762 Agrifacts     135527 463597
 763 Agrifacts     135877 473177
 764 Agrifacts     135210 467139
 765 Agrifacts     132459 465352
 766 Agrifacts     133878 463007
 767 Agrifacts     133178 469056
 768 Agrifacts     133155 469443
 769 Agrifacts     133059 462346
 770 Agrifacts     133143 469778
 771 Agrifacts     133132 469887
 772 Agrifacts     133092 468725
 773 Agrifacts     131238 471126
 774 Agrifacts     135754 465651
 775 Agrifacts     135124 470115
 776 Agrifacts     136332 475604
 777 Agrifacts     133411 472747
 778 Agrifacts     134866 462517
 779 Agrifacts     133526 462335
 780 Agrifacts     250166 460900
 781 Agrifacts     268476 487859
 782 Agrifacts     269407 486158
 783 Agrifacts     262153 483349
 784 Agrifacts     266053 486190
 785 Agrifacts     266999 483317
 786 Agrifacts     266614 481456
 787 Agrifacts     262859 479658
 788 Agrifacts     257114 488886
 789 Agrifacts     253343 497054
 790 Agrifacts     256970 495594
 791 Agrifacts     254129 493090
 792 Agrifacts     254386 494984
 793 Agrifacts     258655 494149
 794 Agrifacts     255846 494390
 795 Agrifacts     252155 496059
 796 Agrifacts     265520 478167
 797 Agrifacts     266767 478612
 798 Agrifacts     266894 479930
 799 Agrifacts     266925 476348
 800 Agrifacts     266512 475443
 801 Agrifacts     267505 474402
 802 Agrifacts     268951 473314
 803 Agrifacts     265726 472846
 804 Agrifacts     249919 463894
 805 Agrifacts     252555 465233
 806 Agrifacts     193751 439582
 807 Agrifacts     198251 435421
 808 Agrifacts     203176 434827
 809 Agrifacts     199610 444889
 810 Agrifacts     207549 453508
 811 Agrifacts     211540 456905
 812 Agrifacts     209757 465991
 813 Agrifacts     208441 472105
 814 Agrifacts     224999 480511
 815 Agrifacts     205237 493186
 816 Agrifacts     196868 492628
 817 Agrifacts     179573 464314
 818 Agrifacts     185292 464593
 819 Agrifacts     190243 468219
 820 Agrifacts     175528 468080
 821 Agrifacts     174064 440045
 822 Agrifacts     181317 492349
 823 Agrifacts     165695 515572
 824 Agrifacts     131464 463577
 825 Agrifacts     135810 462658
 826 Agrifacts     137524 465189
 827 Agrifacts     152717 476344
 828 Agrifacts     156662 471804
 829 Agrifacts     163301 474957
 830 Agrifacts     167327 484861
 831 Agrifacts     171768 470356
 832 Agrifacts     118960 463245
 833 Agrifacts     101999 494167
 834 Agrifacts      81460 458848
 835 Agrifacts      87394 467171
 836 Agrifacts      46707 406036
 837 Agrifacts      17768 405482
 838 Agrifacts      24507 383651
 839 Agrifacts      48230 374697
 840 Agrifacts     119665 422736
 841 Agrifacts     125549 417989
 842 Agrifacts     130586 419403
 843 Agrifacts     130467 424410
 844 Agrifacts     132461 425303
 845 Agrifacts     132629 424045
 846 Agrifacts     128176 429282
 847 Agrifacts     130246 430035
 848 Agrifacts     132532 430482
 849 Agrifacts     135164 431300
 850 Agrifacts     137003 431351
 851 Agrifacts     136441 434608
 852 Agrifacts     137859 436588
 853 Agrifacts     138332 437955
 854 Agrifacts     152603 441565
 855 Agrifacts     162111 443667
 856 Agrifacts     170559 439370
 857 Agrifacts     154193 444307
 858 Agrifacts     169517 446374
 859 Agrifacts     147117 426150
 860 Agrifacts     148653 424632
 861 Agrifacts     151725 425784
 862 Agrifacts     158783 431965
 863 Agrifacts     163208 433994
 864 Agrifacts     167012 434013
 865 Agrifacts     172826 433757
 866 Agrifacts     191843 431361
 867 Agrifacts     195702 430520
 868 Agrifacts     200651 406151
 869 Agrifacts     139325 381893
 870 Agrifacts     142933 381734
 871 Agrifacts     144986 384654
 872 Agrifacts     143918 385631
 873 Agrifacts     150413 382723
 874 Agrifacts     135256 386287
